epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,369.69,0.59072,0.90909,1,0.6124,0.000236494,0.000236494,0.000236494
2,797.708,0.13254,1,1,0.66973,0.000427519,0.000427519,0.000427519
3,1186.24,0.09787,0.90909,1,0.71269,0.00057142,0.00057142,0.00057142
4,1560.17,0.08036,0.9697,1,0.58046,0.000501942,0.000501942,0.000501942
5,1933.4,0.07212,0.9697,1,0.58346,0.000431256,0.000431256,0.000431256
6,2308.27,0.04853,0.9697,1,0.57842,0.00036057,0.00036057,0.00036057
7,2685.29,0.03572,1,1,0.57271,0.000289884,0.000289884,0.000289884
8,3098.61,0.03202,1,1,0.55845,0.000219198,0.000219198,0.000219198
9,3479.98,0.02789,1,1,0.56807,0.000148512,0.000148512,0.000148512
10,3856.98,0.02114,1,1,0.58641,7.7826e-05,7.7826e-05,7.7826e-05
